DATE,FLNQGSP
2005-01-01,690088.7
2005-04-01,698709.0
2005-07-01,715915.7
2005-10-01,718694.0
2006-01-01,736349.4
2006-04-01,744377.3
2006-07-01,752793.0
2006-10-01,768575.7
2007-01-01,772022.7
2007-04-01,780225.8
2007-07-01,790730.1
2007-10-01,787871.5
2008-01-01,774200.0
2008-04-01,769610.2
2008-07-01,762423.3
2008-10-01,747132.6
2009-01-01,740051.6
2009-04-01,732371.9
2009-07-01,730097.1
2009-10-01,739163.3
2010-01-01,735061.2
2010-04-01,744674.5
2010-07-01,751792.2
2010-10-01,756187.7
2011-01-01,746767.0
2011-04-01,756616.3
2011-07-01,755561.6
2011-10-01,762015.1
2012-01-01,770236.6
2012-04-01,773982.0
2012-07-01,783994.5
2012-10-01,785967.1
2013-01-01,800612.5
2013-04-01,804243.0
2013-07-01,815404.2
2013-10-01,826747.0
2014-01-01,829141.8
2014-04-01,844744.3
2014-07-01,859527.2
2014-10-01,873356.2
2015-01-01,887079.8
2015-04-01,903590.7
2015-07-01,915913.2
2015-10-01,927495.9
2016-01-01,931019.6
2016-04-01,947174.2
2016-07-01,962848.4
2016-10-01,972368.0
2017-01-01,988504.8
2017-04-01,994557.3
2017-07-01,1005736.2
2017-10-01,1023777.7
2018-01-01,1040339.7
2018-04-01,1050300.7
2018-07-01,1065465.5
2018-10-01,1072915.7
2019-01-01,1091751.1
2019-04-01,1103391.1
2019-07-01,1118430.0
2019-10-01,1131996.7
2020-01-01,1132228.4
2020-04-01,1042523.5
2020-07-01,1139712.2
2020-10-01,1152442.9
2021-01-01,1184342.0
2021-04-01,1238614.2
2021-07-01,1273980.2
2021-10-01,1325296.9
2022-01-01,1344330.4
2022-04-01,1371467.9
