DATE,ILNQGSP
2005-01-01,582315.2
2005-04-01,585846.2
2005-07-01,593681.0
2005-10-01,597405.0
2006-01-01,615033.8
2006-04-01,621491.5
2006-07-01,625751.7
2006-10-01,634694.8
2007-01-01,640898.7
2007-04-01,647286.3
2007-07-01,652419.1
2007-10-01,659976.4
2008-01-01,650988.6
2008-04-01,656748.7
2008-07-01,660681.2
2008-10-01,650211.4
2009-01-01,646138.9
2009-04-01,646492.8
2009-07-01,649142.9
2009-10-01,657676.4
2010-01-01,652523.5
2010-04-01,662942.1
2010-07-01,672613.9
2010-10-01,677539.9
2011-01-01,680955.8
2011-04-01,690224.7
2011-07-01,695318.5
2011-10-01,705024.2
2012-01-01,721011.3
2012-04-01,727758.5
2012-07-01,729198.2
2012-10-01,727628.4
2013-01-01,737708.8
2013-04-01,735411.1
2013-07-01,740039.4
2013-10-01,751326.6
2014-01-01,751153.3
2014-04-01,767880.4
2014-07-01,780221.4
2014-10-01,786169.3
2015-01-01,790762.1
2015-04-01,798360.8
2015-07-01,806568.8
2015-10-01,804030.2
2016-01-01,800575.2
2016-04-01,805839.8
2016-07-01,805167.4
2016-10-01,816590.5
2017-01-01,813314.9
2017-04-01,819157.7
2017-07-01,829036.5
2017-10-01,838144.4
2018-01-01,852709.2
2018-04-01,863234.7
2018-07-01,871193.6
2018-10-01,875506.7
2019-01-01,880781.3
2019-04-01,886457.4
2019-07-01,896488.0
2019-10-01,894433.7
2020-01-01,880974.3
2020-04-01,803361.1
2020-07-01,867041.7
2020-10-01,876394.4
2021-01-01,910042.6
2021-04-01,935952.8
2021-07-01,952562.8
2021-10-01,984137.1
2022-01-01,1009986.4
2022-04-01,1024018.9
