DATE,ILPOP
1994-01-01,11804.986
1995-01-01,11884.935
1996-01-01,11953.003
1997-01-01,12011.509
1998-01-01,12069.774
1999-01-01,12128.370
2000-01-01,12434.161
2001-01-01,12488.445
2002-01-01,12525.556
2003-01-01,12556.006
2004-01-01,12589.773
2005-01-01,12609.903
2006-01-01,12643.955
2007-01-01,12695.866
2008-01-01,12747.038
2009-01-01,12796.778
2010-01-01,12840.545
2011-01-01,12867.783
2012-01-01,12883.029
2013-01-01,12895.778
2014-01-01,12885.092
2015-01-01,12859.585
2016-01-01,12821.709
2017-01-01,12779.893
2018-01-01,12724.685
2019-01-01,12667.017
2020-01-01,12785.245
2021-01-01,12671.469
