State,Years,GDP (Gross Domestic Product)
Florida,2010,746928.9
Florida,2011,755240.0
Florida,2012,778545.0
Florida,2013,811751.7
Florida,2014,851692.4
Florida,2015,908519.9
Florida,2016,953352.5
Florida,2017,1003144.0
Florida,2018,1057255.4
Florida,2019,1111392.2
Florida,2020,1116726.8
Florida,2021,1255558.3
Illinois,2010,666404.8
Illinois,2011,692880.8
Illinois,2012,726399.1
Illinois,2013,741121.5
Illinois,2014,771356.1
Illinois,2015,799930.5
Illinois,2016,807043.2
Illinois,2017,824913.4
Illinois,2018,865661.0
Illinois,2019,889540.1
Illinois,2020,856942.9
Illinois,2021,945673.8
