Type,Price Index Change,Population Change
Actual,2.54,26951
Actual,3.923,15056
Actual,-0.676,12619
Actual,1.51,-10636
Actual,4.309,-25580
Actual,4.095,-38386
Actual,3.475,-41699
Actual,2.692,-55757
Actual,10.286,-51250
Prediction,2.54,-13090.7568443
Prediction,3.923,-20659.78584785
Prediction,-0.676,4510.10886459
Prediction,1.51,-7453.66366017
Prediction,4.309,-22772.3275654
Prediction,4.095,-21601.12568054
Prediction,3.475,-18207.92395805
Prediction,2.692,-13922.63855691
Prediction,10.286,-55483.88675136
