State,Years,Total Tax Collections in Millions
Florida,2010,7975.0000000000000000
Florida,2011,8228.7500000000000000
Florida,2012,8714.5000000000000000
Florida,2013,9327.0000000000000000
Florida,2014,9408.7500000000000000
Florida,2015,9605.2500000000000000
Florida,2016,10101.2500000000000000
Florida,2017,10814.0000000000000000
Florida,2018,11105.0000000000000000
Florida,2019,11635.7500000000000000
Florida,2020,11011.5000000000000000
Florida,2021,13741.250000000000
Illinois,2010,7310.2500000000000000
Illinois,2011,8394.0000000000000000
Illinois,2012,9204.0000000000000000
Illinois,2013,9998.5000000000000000
Illinois,2014,10023.0000000000000000
Illinois,2015,9887.0000000000000000
Illinois,2016,9598.7500000000000000
Illinois,2017,9266.0000000000000000
Illinois,2018,10488.0000000000000000
Illinois,2019,11601.5000000000000000
Illinois,2020,12204.7500000000000000
Illinois,2021,14293.750000000000
