County,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Illinois,"12,830,632","12,831,572","12,840,503","12,867,454","12,882,510","12,895,129","12,884,493","12,858,913","12,820,527","12,778,828","12,723,071","12,671,821"
".Adams County, Illinois","67,103","67,097","67,160","67,211","67,139","66,999","66,966","66,835","66,475","66,057","65,623","65,435"
".Alexander County, Illinois","8,238","8,238","8,206","7,992","7,717","7,238","7,083","6,762","6,459","6,278","6,041","5,761"
".Bond County, Illinois","17,768","17,768","17,787","17,726","17,537","17,331","17,070","16,686","16,546","16,648","16,637","16,426"
".Boone County, Illinois","54,165","54,167","54,101","54,131","53,735","53,747","53,714","53,579","53,570","53,513","53,480","53,544"
".Brown County, Illinois","6,937","6,937","6,919","6,882","6,890","6,864","6,832","6,753","6,637","6,609","6,563","6,578"
".Bureau County, Illinois","34,978","34,980","34,959","34,625","34,342","34,108","33,856","33,491","33,396","33,137","32,959","32,628"
".Calhoun County, Illinois","5,089","5,089","5,096","5,049","4,985","5,008","4,925","4,860","4,869","4,851","4,829","4,739"
".Carroll County, Illinois","15,387","15,394","15,394","15,229","15,121","14,969","14,783","14,642","14,596","14,475","14,314","14,305"
".Cass County, Illinois","13,642","13,641","13,633","13,629","13,427","13,293","13,081","12,843","12,672","12,492","12,312","12,147"
".Champaign County, Illinois","201,081","201,081","201,546","203,197","204,630","206,425","207,942","209,382","210,198","210,425","209,918","209,689"
".Christian County, Illinois","34,800","34,795","34,763","34,702","34,518","34,148","33,813","33,463","33,230","33,007","32,653","32,304"
".Clark County, Illinois","16,335","16,335","16,291","16,202","16,259","16,095","16,047","15,868","15,857","15,812","15,600","15,441"
".Clay County, Illinois","13,815","13,815","13,826","13,725","13,714","13,554","13,445","13,401","13,314","13,270","13,266","13,184"
".Clinton County, Illinois","37,762","37,762","37,843","38,031","37,918","37,731","37,646","37,665","37,599","37,645","37,697","37,562"
".Coles County, Illinois","53,873","53,876","53,866","53,624","53,318","53,053","52,523","52,179","51,783","51,353","50,829","50,621"
".Cook County, Illinois","5,194,675","5,195,026","5,199,016","5,219,780","5,239,351","5,252,875","5,254,675","5,244,088","5,224,272","5,200,821","5,171,960","5,150,233"
".Crawford County, Illinois","19,817","19,818","19,801","19,776","19,588","19,435","19,285","19,255","19,133","18,975","18,830","18,667"
".Cumberland County, Illinois","11,048","11,045","11,053","11,080","10,950","10,904","10,923","10,860","10,868","10,880","10,804","10,766"
".DeKalb County, Illinois","105,160","105,162","105,145","104,450","104,365","104,202","104,560","104,195","104,080","104,309","104,349","104,897"
".De Witt County, Illinois","16,561","16,558","16,590","16,548","16,491","16,373","16,217","16,184","16,137","15,906","15,794","15,638"
".Douglas County, Illinois","19,980","19,977","19,983","19,871","19,888","19,861","19,906","19,835","19,727","19,629","19,458","19,465"
".DuPage County, Illinois","916,924","916,741","917,983","924,831","928,666","932,231","933,425","933,609","931,256","930,265","927,247","922,921"
".Edgar County, Illinois","18,576","18,576","18,508","18,391","18,158","17,941","17,807","17,603","17,519","17,390","17,360","17,161"
".Edwards County, Illinois","6,721","6,721","6,734","6,669","6,721","6,687","6,628","6,511","6,536","6,448","6,387","6,395"
".Effingham County, Illinois","34,242","34,246","34,224","34,270","34,273","34,217","34,122","34,202","34,170","34,123","34,181","34,008"
".Fayette County, Illinois","22,140","22,142","22,131","22,378","22,163","22,195","22,076","22,036","21,570","21,514","21,368","21,336"
".Ford County, Illinois","14,081","14,081","14,081","13,881","13,879","13,672","13,540","13,529","13,352","13,298","13,212","12,961"
".Franklin County, Illinois","39,561","39,996","40,035","40,033","39,865","39,555","39,446","39,383","39,075","38,995","38,695","38,469"
".Fulton County, Illinois","37,069","37,071","37,076","36,910","36,587","36,323","35,995","35,713","35,473","35,104","34,830","34,340"
".Gallatin County, Illinois","5,589","5,587","5,573","5,490","5,390","5,386","5,278","5,221","5,157","5,071","5,045","4,828"
".Greene County, Illinois","13,886","13,886","13,890","13,856","13,656","13,633","13,415","13,345","13,123","13,156","13,065","12,969"
".Grundy County, Illinois","50,063","50,079","50,154","50,099","50,160","50,187","50,287","50,363","50,317","50,622","50,973","51,054"
".Hamilton County, Illinois","8,457","8,457","8,446","8,425","8,388","8,348","8,314","8,248","8,186","8,181","8,148","8,116"
".Hancock County, Illinois","19,104","19,104","19,091","18,999","18,829","18,544","18,324","18,216","18,205","17,958","17,828","17,708"
".Hardin County, Illinois","4,320","4,323","4,319","4,294","4,281","4,177","4,149","4,067","3,991","3,922","3,893","3,821"
".Henderson County, Illinois","7,331","7,328","7,343","7,216","7,043","6,963","7,011","6,997","6,886","6,819","6,697","6,646"
".Henry County, Illinois","50,486","50,483","50,452","50,283","50,249","49,917","49,824","49,638","49,498","49,219","49,069","48,913"
".Iroquois County, Illinois","29,718","29,719","29,701","29,500","29,267","28,940","28,719","28,522","28,163","27,777","27,484","27,114"
".Jackson County, Illinois","60,218","60,206","60,373","60,369","59,066","59,760","59,359","59,214","58,726","57,904","57,289","56,750"
".Jasper County, Illinois","9,698","9,701","9,725","9,754","9,672","9,607","9,633","9,630","9,583","9,523","9,624","9,610"
".Jefferson County, Illinois","38,827","38,825","38,755","38,749","38,658","38,641","38,374","38,272","38,214","38,045","37,708","37,684"
".Jersey County, Illinois","22,985","23,010","22,995","22,879","22,710","22,599","22,492","22,260","21,947","21,912","21,795","21,773"
".Jo Daviess County, Illinois","22,678","22,681","22,648","22,640","22,543","22,399","22,341","22,066","21,814","21,495","21,331","21,235"
".Johnson County, Illinois","12,582","12,577","12,604","12,855","12,856","12,867","12,887","12,777","12,454","12,399","12,423","12,417"
".Kane County, Illinois","515,269","515,322","516,068","519,110","520,669","522,626","525,625","528,760","530,726","532,272","532,720","532,403"
".Kankakee County, Illinois","113,449","113,450","113,418","113,519","112,974","112,735","111,883","111,750","111,080","110,540","109,953","109,862"
".Kendall County, Illinois","114,736","114,804","115,373","116,814","118,246","119,566","121,374","122,878","124,535","126,152","127,717","128,990"
".Knox County, Illinois","52,919","52,926","52,912","52,705","52,302","52,129","51,944","51,370","50,917","50,577","49,978","49,699"
".Lake County, Illinois","703,462","703,400","704,170","701,642","702,083","704,207","704,294","704,611","704,158","702,475","699,587","696,535"
".LaSalle County, Illinois","113,924","113,920","113,823","113,533","112,918","112,430","111,660","111,019","110,215","109,622","109,159","108,669"
