County,"July 1, 2018","July 1, 2019",Number,Percent,"July 1, 2018","July 1, 2019",Number,Percent
Illinois,"12,723,071","12,671,821","-51,250",-0.4,(X),(X),(X),(X)
".Adams County, Illinois","65,623","65,435",-188,-0.3,23,23,58,29
".Alexander County, Illinois","6,041","5,761",-280,-4.6,94,94,71,102
".Bond County, Illinois","16,637","16,426",-211,-1.3,64,64,62,89
".Boone County, Illinois","53,480","53,544",64,0.1,26,26,5,8
".Brown County, Illinois","6,563","6,578",15,0.2,92,92,7,5
".Bureau County, Illinois","32,959","32,628",-331,-1.0,45,45,77,76
".Calhoun County, Illinois","4,829","4,739",-90,-1.9,100,100,31,99
".Carroll County, Illinois","14,314","14,305",-9,-0.1,74,74,14,15
".Cass County, Illinois","12,312","12,147",-165,-1.3,83,84,52,91
".Champaign County, Illinois","209,918","209,689",-229,-0.1,10,10,66,19
".Christian County, Illinois","32,653","32,304",-349,-1.1,46,46,78,81
".Clark County, Illinois","15,600","15,441",-159,-1.0,70,71,50,79
".Clay County, Illinois","13,266","13,184",-82,-0.6,79,79,30,56
".Clinton County, Illinois","37,697","37,562",-135,-0.4,37,37,43,32
".Coles County, Illinois","50,829","50,621",-208,-0.4,28,29,61,37
".Cook County, Illinois","5,171,960","5,150,233","-21,727",-0.4,1,1,102,38
".Crawford County, Illinois","18,830","18,667",-163,-0.9,59,59,51,70
".Cumberland County, Illinois","10,804","10,766",-38,-0.4,87,87,22,31
".DeKalb County, Illinois","104,349","104,897",548,0.5,20,19,2,3
".De Witt County, Illinois","15,794","15,638",-156,-1.0,68,68,48,74
".Douglas County, Illinois","19,458","19,465",7,-,58,58,9,10
".DuPage County, Illinois","927,247","922,921","-4,326",-0.5,2,2,101,43
".Edgar County, Illinois","17,360","17,161",-199,-1.1,61,61,59,84
".Edwards County, Illinois","6,387","6,395",8,0.1,93,93,8,7
".Effingham County, Illinois","34,181","34,008",-173,-0.5,43,43,53,48
".Fayette County, Illinois","21,368","21,336",-32,-0.1,55,55,19,22
".Ford County, Illinois","13,212","12,961",-251,-1.9,80,81,67,100
".Franklin County, Illinois","38,695","38,469",-226,-0.6,34,34,64,54
".Fulton County, Illinois","34,830","34,340",-490,-1.4,40,41,87,94
".Gallatin County, Illinois","5,045","4,828",-217,-4.3,98,99,63,101
".Greene County, Illinois","13,065","12,969",-96,-0.7,81,80,35,63
".Grundy County, Illinois","50,973","51,054",81,0.2,27,27,4,6
".Hamilton County, Illinois","8,148","8,116",-32,-0.4,89,89,19,35
".Hancock County, Illinois","17,828","17,708",-120,-0.7,60,60,42,59
".Hardin County, Illinois","3,893","3,821",-72,-1.8,102,102,27,98
".Henderson County, Illinois","6,697","6,646",-51,-0.8,91,91,24,65
".Henry County, Illinois","49,069","48,913",-156,-0.3,31,31,48,30
".Iroquois County, Illinois","27,484","27,114",-370,-1.3,51,51,80,92
".Jackson County, Illinois","57,289","56,750",-539,-0.9,24,24,90,72
".Jasper County, Illinois","9,624","9,610",-14,-0.1,88,88,15,21
".Jefferson County, Illinois","37,708","37,684",-24,-0.1,36,36,18,16
".Jersey County, Illinois","21,795","21,773",-22,-0.1,53,53,16,18
".Jo Daviess County, Illinois","21,331","21,235",-96,-0.5,56,56,35,42
".Johnson County, Illinois","12,423","12,417",-6,-,82,82,12,12
".Kane County, Illinois","532,720","532,403",-317,-0.1,5,5,76,14
".Kankakee County, Illinois","109,953","109,862",-91,-0.1,17,17,32,17
".Kendall County, Illinois","127,717","128,990","1,273",1.0,16,16,1,1
".Knox County, Illinois","49,978","49,699",-279,-0.6,30,30,70,51
".Lake County, Illinois","699,587","696,535","-3,052",-0.4,3,3,100,40
".LaSalle County, Illinois","109,159","108,669",-490,-0.4,18,18,87,41
".Lawrence County, Illinois","15,813","15,678",-135,-0.9,67,67,43,68
".Lee County, Illinois","34,296","34,096",-200,-0.6,42,42,60,53
".Livingston County, Illinois","35,714","35,648",-66,-0.2,39,39,25,26
".Logan County, Illinois","28,912","28,618",-294,-1.0,49,49,72,78
".McDonough County, Illinois","29,984","29,682",-302,-1.0,48,48,75,77
".McHenry County, Illinois","308,251","307,774",-477,-0.2,6,6,86,23
".McLean County, Illinois","172,410","171,517",-893,-0.5,13,13,93,49
".Macon County, Illinois","104,504","104,009",-495,-0.5,19,20,89,45
".Macoupin County, Illinois","45,318","44,926",-392,-0.9,32,32,83,69
".Madison County, Illinois","264,026","262,966","-1,060",-0.4,8,8,97,36
".Marion County, Illinois","37,381","37,205",-176,-0.5,38,38,55,44
".Marshall County, Illinois","11,483","11,438",-45,-0.4,86,86,23,34
".Mason County, Illinois","13,533","13,359",-174,-1.3,78,78,54,90
".Massac County, Illinois","14,023","13,772",-251,-1.8,75,76,67,96
".Menard County, Illinois","12,289","12,196",-93,-0.8,84,83,34,64
".Mercer County, Illinois","15,551","15,437",-114,-0.7,72,72,41,62
".Monroe County, Illinois","34,373","34,637",264,0.8,41,40,3,2
".Montgomery County, Illinois","28,691","28,414",-277,-1.0,50,50,69,73
".Morgan County, Illinois","34,027","33,658",-369,-1.1,44,44,79,83
".Moultrie County, Illinois","14,648","14,501",-147,-1.0,73,73,46,75
".Ogle County, Illinois","50,781","50,643",-138,-0.3,29,28,45,28
".Peoria County, Illinois","180,620","179,179","-1,441",-0.8,12,12,98,66
".Perry County, Illinois","21,144","20,916",-228,-1.1,57,57,65,82
".Piatt County, Illinois","16,366","16,344",-22,-0.1,65,65,16,20
".Pike County, Illinois","15,595","15,561",-34,-0.2,71,69,21,27
".Pope County, Illinois","4,184","4,177",-7,-0.2,101,101,13,24
".Pulaski County, Illinois","5,434","5,335",-99,-1.8,96,97,37,97
".Putnam County, Illinois","5,736","5,739",3,0.1,95,95,10,9
".Randolph County, Illinois","32,177","31,782",-395,-1.2,47,47,84,86
".Richland County, Illinois","15,695","15,513",-182,-1.2,69,70,57,85
".Rock Island County, Illinois","142,621","141,879",-742,-0.5,14,14,92,50
".St. Clair County, Illinois","261,360","259,686","-1,674",-0.6,9,9,99,57
".Saline County, Illinois","23,789","23,491",-298,-1.3,52,52,73,88
".Sangamon County, Illinois","195,639","194,672",-967,-0.5,11,11,95,47
".Schuyler County, Illinois","6,870","6,768",-102,-1.5,90,90,38,95
".Scott County, Illinois","4,927","4,951",24,0.5,99,98,6,4
".Shelby County, Illinois","21,726","21,634",-92,-0.4,54,54,33,39
".Stark County, Illinois","5,418","5,342",-76,-1.4,97,96,28,93
".Stephenson County, Illinois","44,797","44,498",-299,-0.7,33,33,74,58
".Tazewell County, Illinois","132,450","131,803",-647,-0.5,15,15,91,46
".Union County, Illinois","16,832","16,653",-179,-1.1,63,63,56,80
".Vermilion County, Illinois","76,702","75,758",-944,-1.2,21,21,94,87
".Wabash County, Illinois","11,523","11,520",-3,-,85,85,11,11
".Warren County, Illinois","16,992","16,844",-148,-0.9,62,62,47,71
".Washington County, Illinois","13,999","13,887",-112,-0.8,76,75,40,67
".Wayne County, Illinois","16,326","16,215",-111,-0.7,66,66,39,60
".White County, Illinois","13,618","13,537",-81,-0.6,77,77,29,55
".Whiteside County, Illinois","55,553","55,175",-378,-0.7,25,25,81,61
".Will County, Illinois","691,149","690,743",-406,-0.1,4,4,85,13
".Williamson County, Illinois","66,982","66,597",-385,-0.6,22,22,82,52
".Winnebago County, Illinois","283,630","282,572","-1,058",-0.4,7,7,96,33
".Woodford County, Illinois","38,527","38,459",-68,-0.2,35,35,26,25
(X) Not applicable.,,,,,,,,
Dash (-) represents zero or rounds to zero.,,,,,,,,
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates are as of January 1, 2019. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. ",,,,,,,,
Suggested Citation:,,,,,,,,
"Estimates of Resident Population Change and Rankings for Counties in Illinois: July 1, 2018 to July 1, 2019 (CO-EST2019-ANNCHG-17)",,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,
Release Date: March 2020,,,,,,,,
